Area,Country,Measure Names,Quarter,Rectangle,Regulated gear,Special condition,Species,Vessel length,Year,Measure Values
7BCEFGHJK,IRL,Landings (t) ,4,37E1,TR1,NONE,COD,O15M,2014,0.93
7BCEFGHJK,FRA,Landings (t) ,4,37D9,TR2,NONE,COD,O15M,2014,0.00155
7BCEFGHJK,IRL,Landings (t) ,4,37D9,TR1,NONE,COD,O15M,2014,2.97
7BCEFGHJK,IRL,Landings (t) ,4,37D9,GN1,NONE,COD,O15M,2014,0.04
7BCEFGHJK,IRL,Landings (t) ,4,37D8,TR2,NONE,COD,O15M,2014,0.12
7BCEFGHJK,FRA,Landings (t) ,4,37D8,TR2,NONE,COD,O15M,2014,0.02638
7BCEFGHJK,IRL,Landings (t) ,4,37D8,TR1,NONE,COD,O15M,2014,1.91
7BCEFGHJK,FRA,Landings (t) ,4,37D8,TR1,NONE,COD,O15M,2014,0.0285
7BCEFGHJK,ENG,Landings (t) ,4,37D8,TR1,NONE,COD,O15M,2014,0.1404
7BCEFGHJK,FRA,Landings (t) ,4,37D7,TR1,NONE,COD,O15M,2014,0.0014
7BCEFGHJK,FRA,Landings (t) ,4,37D6,TR1,NONE,COD,O15M,2014,0.00185
7BCEFGHJK,IRL,Landings (t) ,4,36D8,TR2,NONE,COD,O15M,2014,0.4
7BCEFGHJK,FRA,Landings (t) ,4,36D8,TR2,NONE,COD,O15M,2014,0.69481
7BCEFGHJK,IRL,Landings (t) ,4,36D8,TR1,NONE,COD,O15M,2014,0.52
7BCEFGHJK,FRA,Landings (t) ,4,36D8,TR1,NONE,COD,O15M,2014,0.6911
7BCEFGHJK,FRA,Landings (t) ,4,36D7,TR2,NONE,COD,O15M,2014,0.01523
7BCEFGHJK,IRL,Landings (t) ,4,36D7,TR1,NONE,COD,O15M,2014,0.04
7BCEFGHJK,FRA,Landings (t) ,4,36D7,TR1,NONE,COD,O15M,2014,0.01633
7BCEFGHJK,FRA,Landings (t) ,4,36D6,TR1,NONE,COD,O15M,2014,0.00175
7BCEFGHJK,IRL,Landings (t) ,4,35E0,TR2,NONE,COD,O15M,2014,0.04
7BCEFGHJK,IRL,Landings (t) ,4,35E0,LL1,NONE,COD,O10T15M,2014,0.11
7BCEFGHJK,IRL,Landings (t) ,4,35E0,GN1,NONE,COD,O10T15M,2014,0.02
7BCEFGHJK,IRL,Landings (t) ,4,35D9,TR2,NONE,COD,O15M,2014,0.55
7BCEFGHJK,IRL,Landings (t) ,4,35D9,TR1,NONE,COD,O15M,2014,1.48
7BCEFGHJK,FRA,Landings (t) ,4,35D9,TR1,NONE,COD,O15M,2014,0.00123
7BCEFGHJK,ENG,Landings (t) ,4,35D9,TR1,NONE,COD,O15M,2014,0.0316
7BCEFGHJK,IRL,Landings (t) ,4,35D9,GN1,NONE,COD,O10T15M,2014,0.02
7BCEFGHJK,IRL,Landings (t) ,4,35D8,TR2,NONE,COD,O15M,2014,0.08
7BCEFGHJK,FRA,Landings (t) ,4,35D8,TR2,NONE,COD,O15M,2014,0.00357
7BCEFGHJK,IRL,Landings (t) ,4,35D8,TR1,NONE,COD,O15M,2014,0.32
7BCEFGHJK,FRA,Landings (t) ,4,35D8,TR1,NONE,COD,O15M,2014,0.71196
7BCEFGHJK,IRL,Landings (t) ,4,35D8,GN1,NONE,COD,O15M,2014,0.04
7BCEFGHJK,IRL,Landings (t) ,4,35D7,TR2,NONE,COD,O15M,2014,0.11
7BCEFGHJK,FRA,Landings (t) ,4,35D7,TR2,NONE,COD,O15M,2014,1.03123
7BCEFGHJK,IRL,Landings (t) ,4,35D7,TR1,NONE,COD,O15M,2014,0.24
7BCEFGHJK,FRA,Landings (t) ,4,35D7,TR1,NONE,COD,O15M,2014,0.63999
7BCEFGHJK,ENG,Landings (t) ,4,35D7,TR1,NONE,COD,O15M,2014,0.0316
7BCEFGHJK,FRA,Landings (t) ,4,35D7,OTTER,NONE,COD,O15M,2014,0.00394
7BCEFGHJK,FRA,Landings (t) ,4,35D7,LL1,NONE,COD,O15M,2014,0.11092
7BCEFGHJK,FRA,Landings (t) ,4,35D6,TR1,NONE,COD,O15M,2014,0.05682
7BCEFGHJK,FRA,Landings (t) ,4,35D6,LL1,NONE,COD,O15M,2014,0.04654
7BCEFGHJK,FRA,Landings (t) ,4,35D5,TR2,NONE,COD,O15M,2014,0.01216
7BCEFGHJK,IRL,Landings (t) ,4,34E0,TR2,NONE,COD,O15M,2014,0.18
7BCEFGHJK,IRL,Landings (t) ,4,34D9,TR2,NONE,COD,O15M,2014,0.09
7BCEFGHJK,IRL,Landings (t) ,4,34D9,TR1,NONE,COD,O15M,2014,0.11
7BCEFGHJK,IRL,Landings (t) ,4,34D9,NONE,NONE,COD,O15M,2014,0.04
